driver_id,permanent_number,code,given_name,family_name,date_of_birth,nationality
albon,23,ALB,Alexander,Albon,1996-03-23,Thai
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish
gasly,10,GAS,Pierre,Gasly,1996-02-07,French
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German
lawson,30,LAW,Liam,Lawson,2002-02-11,New Zealander
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish
norris,1,NOR,Lando,Norris,1999-11-13,British
ocon,31,OCO,Esteban,Ocon,1996-09-17,French
piastri,81,PIA,Oscar,Piastri,2001-04-06,Australian
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian
russell,63,RUS,George,Russell,1998-02-15,British
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish
sargeant,2,SAR,Logan,Sargeant,2000-12-31,American
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian
tsunoda,22,TSU,Yuki,Tsunoda,2000-05-11,Japanese
max_verstappen,3,VER,Max,Verstappen,1997-09-30,Dutch
zhou,24,ZHO,Guanyu,Zhou,1999-05-30,Chinese
de_vries,21,DEV,Nyck,de Vries,1995-02-06,Dutch
barrichello,,BAR,Rubens,Barrichello,1972-05-23,Brazilian
bernoldi,,,Enrique,Bernoldi,1978-10-19,Brazilian
button,22,BUT,Jenson,Button,1980-01-19,British
coulthard,,COU,David,Coulthard,1971-03-27,British
davidson,,DAV,Anthony,Davidson,1979-04-18,British
fisichella,,FIS,Giancarlo,Fisichella,1973-01-14,Italian
frentzen,,,Heinz-Harald,Frentzen,1967-05-18,German
heidfeld,,HEI,Nick,Heidfeld,1977-05-10,German
irvine,,,Eddie,Irvine,1965-11-10,British
massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian
mcnish,,,Allan,McNish,1969-12-29,British
montoya,,MON,Juan,Pablo Montoya,1975-09-20,Colombian
panis,,,Olivier,Panis,1966-09-02,French
raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish
salo,,,Mika,Salo,1966-11-30,Finnish
sato,,SAT,Takuma,Sato,1977-01-28,Japanese
michael_schumacher,,MSC,Michael,Schumacher,1969-01-03,German
ralf_schumacher,,SCH,Ralf,Schumacher,1975-06-30,German
trulli,,TRU,Jarno,Trulli,1974-07-13,Italian
villeneuve,,VIL,Jacques,Villeneuve,1971-04-09,Canadian
webber,,WEB,Mark,Webber,1976-08-27,Australian
yoong,,,Alex,Yoong,1976-07-20,Malaysian
rosa,,DLR,Pedro,de la Rosa,1971-02-24,Spanish
baumgartner,,,Zsolt,Baumgartner,1981-01-01,Hungarian
firman,,,Ralph,Firman,1975-05-20,Irish
gene,,,Marc,Gené,1974-03-29,Spanish
kiesa,,,Nicolas,Kiesa,1978-03-03,Danish
pizzonia,,PIZ,Antônio,Pizzonia,1980-09-11,Brazilian
verstappen,,,Jos,Verstappen,1972-03-04,Dutch
wilson,,,Justin,Wilson,1978-07-31,British
matta,,,Cristiano,da Matta,1973-09-19,Brazilian
bruni,,,Gianmaria,Bruni,1981-05-30,Italian
glock,,GLO,Timo,Glock,1982-03-18,German
klien,,KLI,Christian,Klien,1983-02-07,Austrian
pantano,,,Giorgio,Pantano,1979-02-04,Italian
zonta,,ZON,Ricardo,Zonta,1976-03-23,Brazilian
albers,,ALB,Christijan,Albers,1979-04-16,Dutch
doornbos,,DOO,Robert,Doornbos,1981-09-23,Dutch
friesacher,,FRI,Patrick,Friesacher,1980-09-26,Austrian
karthikeyan,,KAR,Narain,Karthikeyan,1977-01-14,Indian
liuzzi,,LIU,Vitantonio,Liuzzi,1980-08-06,Italian
monteiro,,TMO,Tiago,Monteiro,1976-07-24,Portuguese
wurz,,WUR,Alexander,Wurz,1974-02-15,Austrian
ide,,IDE,Yuji,Ide,1975-01-21,Japanese
kubica,88,KUB,Robert,Kubica,1984-12-07,Polish
montagny,,FMO,Franck,Montagny,1978-01-05,French
rosberg,6,ROS,Nico,Rosberg,1985-06-27,German
speed,,SPE,Scott,Speed,1983-01-24,American
yamamoto,,YAM,Sakon,Yamamoto,1982-07-09,Japanese
kovalainen,,KOV,Heikki,Kovalainen,1981-10-19,Finnish
nakajima,,NAK,Kazuki,Nakajima,1985-01-11,Japanese
