id,session_key,driver_id,driver_number,lap_number,pit_duration,lane_duration,date
1,9102,norris,4,1,37.7,37.7,2023-06-04T13:05:22.607000+00:00
2,9102,bottas,77,5,23.6,23.6,2023-06-04T13:10:42.773000+00:00
3,9102,hulkenberg,27,8,22.2,22.2,2023-06-04T13:14:44.785000+00:00
4,9102,zhou,24,9,23.4,23.4,2023-06-04T13:16:02.690000+00:00
5,9102,de_vries,21,9,22.5,22.5,2023-06-04T13:16:07.674000+00:00
6,9102,tsunoda,22,10,22.1,22.1,2023-06-04T13:17:23.938000+00:00
7,9102,kevin_magnussen,20,10,22.1,22.1,2023-06-04T13:17:29.391000+00:00
8,9102,ocon,31,13,22.1,22.1,2023-06-04T13:21:24.402000+00:00
9,9102,stroll,18,14,22.3,22.3,2023-06-04T13:22:41.917000+00:00
10,9102,sainz,55,15,22.3,22.3,2023-06-04T13:23:56.212000+00:00
11,9102,leclerc,16,16,21.7,21.7,2023-06-04T13:25:39.726000+00:00
12,9102,albon,23,16,23.3,23.3,2023-06-04T13:25:48.070000+00:00
13,9102,piastri,81,17,22.3,22.3,2023-06-04T13:26:55.740000+00:00
14,9102,sargeant,2,17,22.5,22.5,2023-06-04T13:27:13.177000+00:00
15,9102,alonso,14,19,22.5,22.5,2023-06-04T13:29:32.284000+00:00
16,9102,gasly,10,19,23.3,23.3,2023-06-04T13:29:42.394000+00:00
17,9102,norris,4,22,22.8,22.8,2023-06-04T13:34:13.936000+00:00
18,9102,hamilton,44,24,22.5,22.5,2023-06-04T13:36:00.934000+00:00
19,9102,kevin_magnussen,20,24,24.8,24.8,2023-06-04T13:36:51.636000+00:00
20,9102,russell,63,25,22.2,22.2,2023-06-04T13:37:30.510000+00:00
21,9102,max_verstappen,1,26,22.2,22.2,2023-06-04T13:38:29.056000+00:00
22,9102,hulkenberg,27,26,23.2,23.2,2023-06-04T13:39:27.836000+00:00
23,9102,perez,11,27,21.7,21.7,2023-06-04T13:40:19.241000+00:00
24,9102,stroll,18,34,23.3,23.3,2023-06-04T13:49:58.247000+00:00
25,9102,tsunoda,22,34,22.0,22.0,2023-06-04T13:50:01.059000+00:00
26,9102,ocon,31,35,24.1,24.1,2023-06-04T13:51:21.730000+00:00
27,9102,zhou,24,36,22.8,22.8,2023-06-04T13:52:48.775000+00:00
28,9102,sargeant,2,36,23.8,23.8,2023-06-04T13:53:18.056000+00:00
29,9102,albon,23,37,23.4,23.4,2023-06-04T13:54:36.804000+00:00
30,9102,de_vries,21,38,21.9,21.9,2023-06-04T13:55:39.834000+00:00
31,9102,piastri,81,39,22.8,22.8,2023-06-04T13:56:52.146000+00:00
32,9102,gasly,10,39,23.6,23.6,2023-06-04T13:56:54.067000+00:00
33,9102,bottas,77,39,24.0,24.0,2023-06-04T13:57:22.504000+00:00
34,9102,sainz,55,41,22.3,22.3,2023-06-04T13:59:09.768000+00:00
35,9102,leclerc,16,41,23.0,23.0,2023-06-04T13:59:36.752000+00:00
36,9102,kevin_magnussen,20,42,22.2,22.2,2023-06-04T14:01:22.406000+00:00
37,9102,hulkenberg,27,43,24.4,24.4,2023-06-04T14:02:29.968000+00:00
38,9102,alonso,14,44,22.8,22.8,2023-06-04T14:03:24.420000+00:00
39,9102,russell,63,45,22.0,22.0,2023-06-04T14:04:20.497000+00:00
40,9102,hamilton,44,50,22.7,22.7,2023-06-04T14:10:45.927000+00:00
41,9102,perez,11,50,21.5,21.5,2023-06-04T14:11:04.287000+00:00
42,9102,norris,4,50,22.0,22.0,2023-06-04T14:12:02.129000+00:00
43,9102,max_verstappen,1,52,22.3,22.3,2023-06-04T14:13:07.441000+00:00
44,9110,tsunoda,22,1,23.6,23.6,2023-06-18T18:04:56.528000+00:00
45,9110,gasly,10,10,27.5,27.5,2023-06-18T18:17:04.109000+00:00
46,9110,hulkenberg,27,11,24.8,24.8,2023-06-18T18:18:16.186000+00:00
47,9110,stroll,18,11,23.7,23.7,2023-06-18T18:18:17.999000+00:00
48,9110,de_vries,21,11,24.9,24.9,2023-06-18T18:18:21.467000+00:00
49,9110,max_verstappen,1,12,23.6,23.6,2023-06-18T18:19:13.935000+00:00
50,9110,hamilton,44,12,24.3,24.3,2023-06-18T18:19:24.482000+00:00
51,9110,alonso,14,12,24.0,24.0,2023-06-18T18:19:25.014000+00:00
52,9110,ocon,31,12,24.4,24.4,2023-06-18T18:19:37.606000+00:00
53,9110,piastri,81,12,24.8,24.8,2023-06-18T18:19:41.653000+00:00
54,9110,norris,4,12,25.8,25.8,2023-06-18T18:19:50.356000+00:00
55,9110,albon,23,12,25.0,25.0,2023-06-18T18:19:50.684000+00:00
56,9110,zhou,24,12,24.1,24.1,2023-06-18T18:19:55.606000+00:00
57,9110,russell,63,12,88.9,88.9,2023-06-18T18:21:25.245000+00:00
58,9110,stroll,18,27,23.8,23.8,2023-06-18T18:42:47.254000+00:00
59,9110,hulkenberg,27,31,24.2,24.2,2023-06-18T18:48:01.826000+00:00
60,9110,zhou,24,32,27.5,27.5,2023-06-18T18:49:22.997000+00:00
61,9110,gasly,10,33,24.1,24.1,2023-06-18T18:50:39.183000+00:00
62,9110,tsunoda,22,34,27.5,27.5,2023-06-18T18:51:59.213000+00:00
63,9110,norris,4,35,23.5,23.5,2023-06-18T18:53:06.212000+00:00
64,9110,kevin_magnussen,20,35,24.9,24.9,2023-06-18T18:53:59.883000+00:00
65,9110,ocon,31,36,23.6,23.6,2023-06-18T18:54:20.679000+00:00
66,9110,bottas,77,36,24.0,24.0,2023-06-18T18:54:23.367000+00:00
67,9110,perez,11,37,23.2,23.2,2023-06-18T18:55:29.865000+00:00
68,9110,piastri,81,37,23.4,23.4,2023-06-18T18:55:45.818000+00:00
69,9110,sainz,55,38,24.1,24.1,2023-06-18T18:56:41.458000+00:00
70,9110,leclerc,16,39,24.3,24.3,2023-06-18T18:57:57.238000+00:00
71,9110,hamilton,44,40,23.7,23.7,2023-06-18T18:59:10.596000+00:00
72,9110,alonso,14,41,23.9,23.9,2023-06-18T19:00:23.204000+00:00
73,9110,max_verstappen,1,42,23.9,23.9,2023-06-18T19:01:35+00:00
74,9110,de_vries,21,50,23.7,23.7,2023-06-18T19:13:54.658000+00:00
75,9110,kevin_magnussen,20,53,24.5,24.5,2023-06-18T19:17:43.092000+00:00
76,9110,perez,11,68,23.2,23.2,2023-06-18T19:35:21.042000+00:00
77,9117,russell,63,15,22.5,22.5,2023-07-01T14:53:08.810000+00:00
78,9117,piastri,81,16,22.5,22.5,2023-07-01T14:54:38.731000+00:00
