id,session_key,date,lap_number,category,flag,scope,message,driver_number
1,7953,2023-03-05T14:04:34+00:00,1,Other,,,PINK HEAD PADDING MATERIAL MUST BE USED,
2,7953,2023-03-05T14:20:00+00:00,1,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,
3,7953,2023-03-05T14:23:00+00:00,1,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,
4,7953,2023-03-05T14:23:04+00:00,1,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,
5,7953,2023-03-05T14:30:00+00:00,1,Other,,,PIT EXIT CLOSED,
6,7953,2023-03-05T14:45:11+00:00,1,Other,,,RISK OF RAIN FOR F1 RACE IS 0%,
7,7953,2023-03-05T14:57:09+00:00,1,Drs,,,DRS DISABLED,
8,7953,2023-03-05T15:03:38+00:00,1,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,
9,7953,2023-03-05T15:03:38.500000+00:00,1,SessionStatus,,,SESSION STARTED,
10,7953,2023-03-05T15:04:09+00:00,1,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 4,
11,7953,2023-03-05T15:04:09+00:00,1,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 4,
12,7953,2023-03-05T15:05:17+00:00,2,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 11,
13,7953,2023-03-05T15:05:52+00:00,2,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,
14,7953,2023-03-05T15:05:59+00:00,2,Other,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,
15,7953,2023-03-05T15:06:47+00:00,2,Drs,,,DRS ENABLED,
16,7953,2023-03-05T15:06:52+00:00,2,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,
17,7953,2023-03-05T15:07:37+00:00,3,Other,,,TURN 4 INCIDENT INVOLVING CARS 18 (STR) AND 14 (ALO) NOTED - CAUSING A COLLISION,
18,7953,2023-03-05T15:08:47+00:00,4,Other,,,CAR 4 (NOR) TIME 1:39.777 DELETED - TRACK LIMITS AT TURN 4 LAP 3 18:07:34,
19,7953,2023-03-05T15:10:36+00:00,5,Other,,,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 18 (STR) AND 14 (ALO) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,
20,7953,2023-03-05T15:17:20+00:00,9,CarEvent,,,CAR 63 (RUS) OFF TRACK AND CONTINUED AT TURN 10,63
21,7953,2023-03-05T15:18:43+00:00,10,Other,,,CAR 77 (BOT) TIME 1:40.564 DELETED - TRACK LIMITS AT TURN 4 LAP 7 18:14:14,
22,7953,2023-03-05T15:19:29+00:00,10,Other,,,CAR 16 (LEC) TIME 1:38.614 DELETED - TRACK LIMITS AT TURN 4 LAP 8 18:15:41,
23,7953,2023-03-05T15:22:32+00:00,12,Other,,, INCIDENT INVOLVING CAR 31 (OCO) NOTED - INACCURATE GRID POSITION,
24,7953,2023-03-05T15:26:56+00:00,15,Other,,,FIA STEWARDS: INCIDENT INVOLVING CAR 31 (OCO) UNDER INVESTIGATION - INACCURATE GRID POSITION,
25,7953,2023-03-05T15:27:19+00:00,15,Other,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 31 (OCO) - INACCURATE GRID POSITION,
26,7953,2023-03-05T15:29:33+00:00,16,Other,,,CAR 4 (NOR) TIME 1:38.870 DELETED - TRACK LIMITS AT TURN 4 LAP 15 18:28:10,
27,7953,2023-03-05T15:35:30+00:00,20,Other,,,INCIDENT INVOLVING CAR 31 (OCO) NOTED - SERVING TIME PENALTY INCORRECTLY ,
28,7953,2023-03-05T15:37:23+00:00,21,Other,,,CAR 21 (DEV) TIME 1:39.078 DELETED - TRACK LIMITS AT TURN 13 LAP 19 18:35:40,
29,7953,2023-03-05T15:42:44+00:00,24,Other,,,FIA STEWARDS: INCIDENT INVOLVING CAR 31 (OCO) UNDER INVESTIGATION - SERVING TIME PENALTY INCORRECTLY ,
30,7953,2023-03-05T15:43:16+00:00,25,Other,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 31 (OCO) - SERVING TIME PENALTY INCORRECTLY ,
31,7953,2023-03-05T15:43:39+00:00,25,Other,,,CAR 27 (HUL) TIME 1:39.703 DELETED - TRACK LIMITS AT TURN 4 LAP 21 18:39:51,
32,7953,2023-03-05T15:48:12+00:00,28,Other,,,INCIDENT INVOLVING CAR 31 (OCO) NOTED - SPEEDING IN THE PIT LANE,
33,7953,2023-03-05T15:48:50+00:00,28,Other,,,FIA STEWARDS: INCIDENT INVOLVING CAR 31 (OCO) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE,
34,7953,2023-03-05T15:49:07+00:00,28,Other,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 31 (OCO) - SPEEDING IN THE PIT LANE,
