id,race_id,driver_id,constructor_id,number,position,points,grid,laps,status,qualifying_position
1,2023_1,max_verstappen,red_bull,1,1,25.0,1,57,Finished,1
2,2023_1,perez,red_bull,11,2,18.0,2,57,Finished,2
3,2023_1,alonso,aston_martin,14,3,15.0,5,57,Finished,5
4,2023_1,sainz,ferrari,55,4,12.0,4,57,Finished,4
5,2023_1,hamilton,mercedes,44,5,10.0,7,57,Finished,7
6,2023_1,stroll,aston_martin,18,6,8.0,8,57,Finished,8
7,2023_1,russell,mercedes,63,7,6.0,6,57,Finished,6
8,2023_1,bottas,alfa,77,8,4.0,12,57,Finished,12
9,2023_1,gasly,alpine,10,9,2.0,20,57,Finished,20
10,2023_1,albon,williams,23,10,1.0,15,57,Finished,15
11,2023_1,tsunoda,alphatauri,22,11,0.0,14,57,Finished,14
12,2023_1,sargeant,williams,2,12,0.0,16,56,Lapped,16
13,2023_1,kevin_magnussen,haas,20,13,0.0,17,56,Lapped,17
14,2023_1,de_vries,alphatauri,21,14,0.0,19,56,Lapped,19
15,2023_1,hulkenberg,haas,27,15,0.0,10,56,Lapped,10
16,2023_1,zhou,alfa,24,16,0.0,13,56,Lapped,13
17,2023_1,norris,mclaren,4,17,0.0,11,55,Lapped,11
18,2023_1,ocon,alpine,31,18,0.0,9,41,Retired,9
19,2023_1,leclerc,ferrari,16,19,0.0,3,39,Retired,3
20,2023_1,piastri,mclaren,81,20,0.0,18,13,Retired,18
21,2023_2,perez,red_bull,11,1,25.0,1,50,Finished,1
22,2023_2,max_verstappen,red_bull,1,2,19.0,15,50,Finished,15
23,2023_2,alonso,aston_martin,14,3,15.0,2,50,Finished,3
24,2023_2,russell,mercedes,63,4,12.0,3,50,Finished,4
25,2023_2,hamilton,mercedes,44,5,10.0,7,50,Finished,8
26,2023_2,sainz,ferrari,55,6,8.0,4,50,Finished,5
27,2023_2,leclerc,ferrari,16,7,6.0,12,50,Finished,2
28,2023_2,ocon,alpine,31,8,4.0,6,50,Finished,7
29,2023_2,gasly,alpine,10,9,2.0,9,50,Finished,10
30,2023_2,kevin_magnussen,haas,20,10,1.0,13,50,Finished,13
31,2023_2,tsunoda,alphatauri,22,11,0.0,16,50,Finished,16
32,2023_2,hulkenberg,haas,27,12,0.0,10,50,Finished,11
33,2023_2,zhou,alfa,24,13,0.0,11,50,Finished,12
34,2023_2,de_vries,alphatauri,21,14,0.0,18,50,Finished,18
35,2023_2,piastri,mclaren,81,15,0.0,8,50,Finished,9
36,2023_2,sargeant,williams,2,16,0.0,20,50,Finished,20
37,2023_2,norris,mclaren,4,17,0.0,19,50,Finished,19
38,2023_2,bottas,alfa,77,18,0.0,14,49,Lapped,14
39,2023_2,albon,williams,23,19,0.0,17,27,Retired,17
40,2023_2,stroll,aston_martin,18,20,0.0,5,16,Retired,6
41,2023_3,max_verstappen,red_bull,1,1,25.0,1,58,Finished,1
42,2023_3,hamilton,mercedes,44,2,18.0,3,58,Finished,3
43,2023_3,alonso,aston_martin,14,3,15.0,4,58,Finished,4
44,2023_3,stroll,aston_martin,18,4,12.0,6,58,Finished,6
45,2023_3,perez,red_bull,11,5,11.0,20,58,Finished,20
46,2023_3,norris,mclaren,4,6,8.0,13,58,Finished,13
47,2023_3,hulkenberg,haas,27,7,6.0,10,58,Finished,10
48,2023_3,piastri,mclaren,81,8,4.0,16,58,Finished,16
49,2023_3,zhou,alfa,24,9,2.0,17,58,Finished,17
50,2023_3,tsunoda,alphatauri,22,10,1.0,12,58,Finished,12
51,2023_3,bottas,alfa,77,11,0.0,19,58,Finished,19
52,2023_3,sainz,ferrari,55,12,0.0,5,58,Finished,5
53,2023_3,gasly,alpine,10,13,0.0,9,56,Retired,9
54,2023_3,ocon,alpine,31,14,0.0,11,56,Retired,11
55,2023_3,de_vries,alphatauri,21,15,0.0,15,56,Retired,15
56,2023_3,sargeant,williams,2,16,0.0,18,56,Retired,18
57,2023_3,kevin_magnussen,haas,20,17,0.0,14,52,Retired,14
58,2023_3,russell,mercedes,63,18,0.0,2,17,Retired,2
59,2023_3,albon,williams,23,19,0.0,8,6,Retired,8
60,2023_3,leclerc,ferrari,16,20,0.0,7,0,Retired,7
61,2023_4,perez,red_bull,11,1,25.0,3,51,Finished,3
62,2023_4,max_verstappen,red_bull,1,2,18.0,2,51,Finished,2
63,2023_4,leclerc,ferrari,16,3,15.0,1,51,Finished,1
64,2023_4,alonso,aston_martin,14,4,12.0,6,51,Finished,6
65,2023_4,sainz,ferrari,55,5,10.0,4,51,Finished,4
66,2023_4,hamilton,mercedes,44,6,8.0,5,51,Finished,5
67,2023_4,stroll,aston_martin,18,7,6.0,9,51,Finished,9
68,2023_4,russell,mercedes,63,8,5.0,11,51,Finished,11
69,2023_4,norris,mclaren,4,9,2.0,7,51,Finished,7
70,2023_4,tsunoda,alphatauri,22,10,1.0,8,51,Finished,8
71,2023_4,piastri,mclaren,81,11,0.0,10,51,Finished,10
72,2023_4,albon,williams,23,12,0.0,12,51,Finished,13
73,2023_4,kevin_magnussen,haas,20,13,0.0,16,51,Finished,18
74,2023_4,gasly,alpine,10,14,0.0,17,51,Finished,19
75,2023_4,ocon,alpine,31,15,0.0,19,51,Finished,12
76,2023_4,sargeant,williams,2,16,0.0,14,51,Finished,15
77,2023_4,hulkenberg,haas,27,17,0.0,20,50,Lapped,17
78,2023_4,bottas,alfa,77,18,0.0,13,50,Lapped,14
