id,session_key,driver_id,driver_number,stint_number,compound,lap_start,lap_end,tyre_age_at_start
1,7953,sargeant,2,1,SOFT,1,12,0
2,7953,tsunoda,22,1,SOFT,1,10,0
3,7953,albon,23,1,SOFT,1,11,0
4,7953,russell,63,1,SOFT,1,13,3
5,7953,stroll,18,1,SOFT,1,15,3
6,7953,norris,4,1,SOFT,1,10,0
7,7953,zhou,24,1,SOFT,1,12,0
8,7953,hamilton,44,1,SOFT,1,12,3
9,7953,alonso,14,1,SOFT,1,14,3
10,7953,kevin_magnussen,20,1,HARD,1,15,0
11,7953,sainz,55,1,SOFT,1,13,3
12,7953,gasly,10,1,SOFT,1,9,0
13,7953,de_vries,21,1,SOFT,1,11,0
14,7953,piastri,81,1,SOFT,1,13,0
15,7953,leclerc,16,1,SOFT,1,13,0
16,7953,perez,11,1,SOFT,1,17,3
17,7953,ocon,31,1,SOFT,1,12,3
18,7953,bottas,77,1,SOFT,1,11,0
19,7953,max_verstappen,1,1,SOFT,1,14,3
20,7953,hulkenberg,27,1,SOFT,1,11,3
21,7953,gasly,10,2,HARD,10,25,0
22,7953,tsunoda,22,2,HARD,11,26,0
23,7953,norris,4,2,HARD,11,17,0
24,7953,bottas,77,2,HARD,12,29,0
25,7953,albon,23,2,SOFT,12,26,0
26,7953,hulkenberg,27,2,HARD,12,26,0
27,7953,de_vries,21,2,HARD,12,27,0
28,7953,hamilton,44,2,HARD,13,30,0
29,7953,ocon,31,2,HARD,13,15,0
30,7953,sargeant,2,2,SOFT,13,30,0
31,7953,zhou,24,2,HARD,13,32,0
32,7953,leclerc,16,2,HARD,14,33,0
33,7953,sainz,55,2,HARD,14,31,0
34,7953,russell,63,2,HARD,14,31,0
35,7953,max_verstappen,1,2,SOFT,15,36,2
36,7953,alonso,14,2,HARD,15,34,0
37,7953,stroll,18,2,HARD,16,30,0
38,7953,kevin_magnussen,20,2,HARD,16,29,0
39,7953,ocon,31,3,HARD,16,32,0
40,7953,perez,11,2,SOFT,18,34,2
41,7953,norris,4,3,SOFT,18,27,3
42,7953,gasly,10,3,HARD,26,40,0
43,7953,albon,23,3,HARD,27,40,0
44,7953,tsunoda,22,3,HARD,27,40,0
45,7953,hulkenberg,27,3,HARD,27,40,0
46,7953,de_vries,21,3,HARD,28,56,0
47,7953,norris,4,4,MEDIUM,28,37,0
48,7953,bottas,77,3,HARD,30,57,0
49,7953,kevin_magnussen,20,3,SOFT,30,40,0
50,7953,hamilton,44,3,HARD,31,57,0
51,7953,stroll,18,3,HARD,31,57,0
52,7953,sargeant,2,3,HARD,31,40,0
53,7953,sainz,55,3,HARD,32,57,0
54,7953,russell,63,3,HARD,32,57,0
