session_key,race_id,meeting_key,year,session_name,session_type,circuit_short_name,location,country_name,date_start,date_end
7779,2023_2,1142,2023,Race,Race,Jeddah,Jeddah,Saudi Arabia,2023-03-19T17:00:00+00:00,2023-03-19T19:00:00+00:00
7787,2023_3,1143,2023,Race,Race,Melbourne,Melbourne,Australia,2023-04-02T05:00:00+00:00,2023-04-02T07:00:00+00:00
7953,2023_1,1141,2023,Race,Race,Sakhir,Sakhir,Bahrain,2023-03-05T15:00:00+00:00,2023-03-05T17:00:00+00:00
9069,2023_4,1207,2023,Sprint,Race,Baku,Baku,Azerbaijan,2023-04-29T13:30:00+00:00,2023-04-29T14:00:00+00:00
9070,2023_4,1207,2023,Race,Race,Baku,Baku,Azerbaijan,2023-04-30T11:00:00+00:00,2023-04-30T13:00:00+00:00
9078,2023_5,1208,2023,Race,Race,Miami,Miami,United States,2023-05-07T19:30:00+00:00,2023-05-07T21:30:00+00:00
9094,2023_6,1210,2023,Race,Race,Monte Carlo,Monaco,Monaco,2023-05-28T13:00:00+00:00,2023-05-28T15:00:00+00:00
9102,2023_7,1211,2023,Race,Race,Catalunya,Barcelona,Spain,2023-06-04T13:00:00+00:00,2023-06-04T15:00:00+00:00
9110,2023_8,1212,2023,Race,Race,Montreal,Montréal,Canada,2023-06-18T18:00:00+00:00,2023-06-18T20:00:00+00:00
9117,2023_9,1213,2023,Sprint,Race,Spielberg,Spielberg,Austria,2023-07-01T14:30:00+00:00,2023-07-01T15:00:00+00:00
9118,2023_9,1213,2023,Race,Race,Spielberg,Spielberg,Austria,2023-07-02T13:00:00+00:00,2023-07-02T15:00:00+00:00
9126,2023_10,1214,2023,Race,Race,Silverstone,Silverstone,United Kingdom,2023-07-09T14:00:00+00:00,2023-07-09T16:00:00+00:00
9133,2023_11,1215,2023,Race,Race,Hungaroring,Budapest,Hungary,2023-07-23T13:00:00+00:00,2023-07-23T15:00:00+00:00
9140,2023_12,1216,2023,Sprint,Race,Spa-Francorchamps,Spa-Francorchamps,Belgium,2023-07-29T15:05:00+00:00,2023-07-29T15:35:00+00:00
9141,2023_12,1216,2023,Race,Race,Spa-Francorchamps,Spa-Francorchamps,Belgium,2023-07-30T13:00:00+00:00,2023-07-30T15:00:00+00:00
