id,season_year,driver_id,constructor_id,position,points,wins
1,2002,michael_schumacher,ferrari,1,144.0,11
2,2002,barrichello,ferrari,2,77.0,4
3,2002,montoya,williams,3,50.0,0
4,2002,ralf_schumacher,williams,4,42.0,1
5,2002,coulthard,mclaren,5,41.0,1
6,2002,raikkonen,mclaren,6,24.0,0
7,2002,button,renault,7,14.0,0
8,2002,trulli,renault,8,9.0,0
9,2002,irvine,jaguar,9,8.0,0
10,2002,heidfeld,sauber,10,7.0,0
11,2002,fisichella,jordan,11,7.0,0
12,2002,villeneuve,bar,12,4.0,0
13,2002,massa,sauber,13,4.0,0
14,2002,panis,bar,14,3.0,0
15,2002,sato,jordan,15,2.0,0
16,2002,webber,minardi,16,2.0,0
17,2002,salo,toyota,17,2.0,0
18,2002,frentzen,sauber,18,2.0,0
19,2002,mcnish,toyota,19,0.0,0
20,2002,yoong,minardi,20,0.0,0
21,2002,rosa,jaguar,21,0.0,0
22,2002,bernoldi,arrows,22,0.0,0
23,2002,davidson,minardi,,0.0,0
24,2003,michael_schumacher,ferrari,1,93.0,6
25,2003,raikkonen,mclaren,2,91.0,1
26,2003,montoya,williams,3,82.0,2
27,2003,barrichello,ferrari,4,65.0,2
28,2003,ralf_schumacher,williams,5,58.0,2
29,2003,alonso,renault,6,55.0,1
30,2003,coulthard,mclaren,7,51.0,1
31,2003,trulli,renault,8,33.0,0
32,2003,button,bar,9,17.0,0
33,2003,webber,jaguar,10,17.0,0
34,2003,frentzen,sauber,11,13.0,0
35,2003,fisichella,jordan,12,12.0,1
36,2003,matta,toyota,13,10.0,0
37,2003,heidfeld,sauber,14,6.0,0
38,2003,panis,toyota,15,6.0,0
39,2003,villeneuve,bar,16,6.0,0
40,2003,gene,williams,17,4.0,0
41,2003,sato,bar,18,3.0,0
42,2003,firman,jordan,19,1.0,0
43,2003,wilson,jaguar,20,1.0,0
44,2003,pizzonia,jaguar,21,0.0,0
45,2003,verstappen,minardi,22,0.0,0
46,2003,kiesa,minardi,23,0.0,0
47,2003,baumgartner,jordan,24,0.0,0
48,2004,michael_schumacher,ferrari,1,148.0,13
49,2004,barrichello,ferrari,2,114.0,2
50,2004,button,bar,3,85.0,0
51,2004,alonso,renault,4,59.0,0
52,2004,montoya,williams,5,58.0,1
53,2004,trulli,toyota,6,46.0,1
54,2004,raikkonen,mclaren,7,45.0,1
55,2004,sato,bar,8,34.0,0
56,2004,ralf_schumacher,williams,9,24.0,0
57,2004,coulthard,mclaren,10,24.0,0
58,2004,fisichella,sauber,11,22.0,0
59,2004,massa,sauber,12,12.0,0
60,2004,webber,jaguar,13,7.0,0
61,2004,panis,toyota,14,6.0,0
62,2004,pizzonia,williams,15,6.0,0
63,2004,klien,jaguar,16,3.0,0
64,2004,matta,toyota,17,3.0,0
65,2004,heidfeld,jordan,18,3.0,0
66,2004,glock,jordan,19,2.0,0
67,2004,baumgartner,minardi,20,1.0,0
68,2004,villeneuve,renault,21,0.0,0
69,2004,zonta,toyota,22,0.0,0
70,2004,gene,williams,23,0.0,0
71,2004,pantano,jordan,24,0.0,0
72,2004,bruni,minardi,25,0.0,0
73,2005,alonso,renault,1,133.0,7
74,2005,raikkonen,mclaren,2,112.0,7
75,2005,michael_schumacher,ferrari,3,62.0,1
76,2005,montoya,mclaren,4,60.0,3
77,2005,fisichella,renault,5,58.0,1
78,2005,ralf_schumacher,toyota,6,45.0,0
79,2005,trulli,toyota,7,43.0,0
80,2005,barrichello,ferrari,8,38.0,0
81,2005,button,bar,9,37.0,0
82,2005,webber,williams,10,36.0,0
83,2005,heidfeld,williams,11,28.0,0
84,2005,coulthard,red_bull,12,24.0,0
85,2005,massa,sauber,13,11.0,0
86,2005,villeneuve,sauber,14,9.0,0
87,2005,klien,red_bull,15,9.0,0
88,2005,monteiro,jordan,16,7.0,0
89,2005,wurz,mclaren,17,6.0,0
90,2005,karthikeyan,jordan,18,5.0,0
91,2005,albers,minardi,19,4.0,0
92,2005,rosa,mclaren,20,4.0,0
93,2005,friesacher,minardi,21,3.0,0
94,2005,pizzonia,williams,22,2.0,0
95,2005,sato,bar,23,1.0,0
96,2005,liuzzi,red_bull,24,1.0,0
97,2005,doornbos,minardi,25,0.0,0
98,2005,zonta,toyota,,0.0,0
99,2005,davidson,bar,,0.0,0
100,2006,alonso,renault,1,134.0,7
101,2006,michael_schumacher,ferrari,2,121.0,7
102,2006,massa,ferrari,3,80.0,2
103,2006,fisichella,renault,4,72.0,1
104,2006,raikkonen,mclaren,5,65.0,0
105,2006,button,honda,6,56.0,1
106,2006,barrichello,honda,7,30.0,0
107,2006,montoya,mclaren,8,26.0,0
108,2006,heidfeld,bmw_sauber,9,23.0,0
109,2006,ralf_schumacher,toyota,10,20.0,0
110,2006,rosa,mclaren,11,19.0,0
111,2006,trulli,toyota,12,15.0,0
112,2006,coulthard,red_bull,13,14.0,0
113,2006,webber,williams,14,7.0,0
114,2006,villeneuve,bmw_sauber,15,7.0,0
115,2006,kubica,bmw_sauber,16,6.0,0
116,2006,rosberg,williams,17,4.0,0
117,2006,klien,red_bull,18,2.0,0
118,2006,liuzzi,toro_rosso,19,1.0,0
119,2006,speed,toro_rosso,20,0.0,0
120,2006,monteiro,spyker_mf1,21,0.0,0
121,2006,albers,spyker_mf1,22,0.0,0
122,2006,sato,super_aguri,23,0.0,0
123,2006,doornbos,red_bull,24,0.0,0
124,2006,ide,super_aguri,25,0.0,0
125,2006,yamamoto,super_aguri,26,0.0,0
126,2006,montagny,super_aguri,27,0.0,0
127,2007,raikkonen,ferrari,1,110.0,6
128,2007,hamilton,mclaren,2,109.0,4
129,2007,alonso,mclaren,3,109.0,4
130,2007,massa,ferrari,4,94.0,3
131,2007,heidfeld,bmw_sauber,5,61.0,0
132,2007,kubica,bmw_sauber,6,39.0,0
133,2007,kovalainen,renault,7,30.0,0
134,2007,fisichella,renault,8,21.0,0
135,2007,rosberg,williams,9,20.0,0
136,2007,coulthard,red_bull,10,14.0,0
137,2007,wurz,williams,11,13.0,0
138,2007,webber,red_bull,12,10.0,0
139,2007,trulli,toyota,13,8.0,0
140,2007,vettel,toro_rosso,14,6.0,0
141,2007,button,honda,15,6.0,0
142,2007,ralf_schumacher,toyota,16,5.0,0
143,2007,sato,super_aguri,17,4.0,0
144,2007,liuzzi,toro_rosso,18,3.0,0
145,2007,sutil,spyker,19,1.0,0
146,2007,barrichello,honda,20,0.0,0
147,2007,speed,toro_rosso,21,0.0,0
148,2007,nakajima,williams,22,0.0,0
149,2007,davidson,super_aguri,23,0.0,0
150,2007,yamamoto,spyker,24,0.0,0
151,2007,albers,spyker,25,0.0,0
152,2007,markus_winkelhock,spyker,,0.0,0
153,2008,hamilton,mclaren,1,98.0,5
154,2008,massa,ferrari,2,97.0,6
155,2008,raikkonen,ferrari,3,75.0,2
156,2008,kubica,bmw_sauber,4,75.0,1
157,2008,alonso,renault,5,61.0,2
158,2008,heidfeld,bmw_sauber,6,60.0,0
159,2008,kovalainen,mclaren,7,53.0,1
160,2008,vettel,toro_rosso,8,35.0,1
161,2008,trulli,toyota,9,31.0,0
162,2008,glock,toyota,10,25.0,0
163,2008,webber,red_bull,11,21.0,0
164,2008,piquet_jr,renault,12,19.0,0
165,2008,rosberg,williams,13,17.0,0
166,2008,barrichello,honda,14,11.0,0
167,2008,nakajima,williams,15,9.0,0
168,2008,coulthard,red_bull,16,8.0,0
169,2008,bourdais,toro_rosso,17,4.0,0
170,2008,button,honda,18,3.0,0
171,2008,fisichella,force_india,19,0.0,0
172,2008,sutil,force_india,20,0.0,0
173,2008,sato,super_aguri,21,0.0,0
174,2008,davidson,super_aguri,22,0.0,0
175,2009,button,brawn,1,95.0,6
176,2009,vettel,red_bull,2,84.0,4
177,2009,barrichello,brawn,3,77.0,2
178,2009,webber,red_bull,4,69.5,2
179,2009,hamilton,mclaren,5,49.0,2
180,2009,raikkonen,ferrari,6,48.0,1
181,2009,rosberg,williams,7,34.5,0
182,2009,trulli,toyota,8,32.5,0
183,2009,alonso,renault,9,26.0,0
184,2009,glock,toyota,10,24.0,0
185,2009,massa,ferrari,11,22.0,0
186,2009,kovalainen,mclaren,12,22.0,0
187,2009,heidfeld,bmw_sauber,13,19.0,0
188,2009,kubica,bmw_sauber,14,17.0,0
189,2009,fisichella,ferrari,15,8.0,0
190,2009,buemi,toro_rosso,16,6.0,0
191,2009,sutil,force_india,17,5.0,0
192,2009,kobayashi,toyota,18,3.0,0
193,2009,bourdais,toro_rosso,19,2.0,0
194,2009,nakajima,williams,20,0.0,0
195,2009,piquet_jr,renault,21,0.0,0
196,2009,liuzzi,force_india,22,0.0,0
197,2009,grosjean,renault,23,0.0,0
198,2009,alguersuari,toro_rosso,24,0.0,0
199,2009,badoer,ferrari,25,0.0,0
200,2010,vettel,red_bull,1,256.0,5
201,2010,alonso,ferrari,2,252.0,5
202,2010,webber,red_bull,3,242.0,4
203,2010,hamilton,mclaren,4,240.0,3
204,2010,button,mclaren,5,214.0,2
205,2010,massa,ferrari,6,144.0,0
206,2010,rosberg,mercedes,7,142.0,0
207,2010,kubica,renault,8,136.0,0
208,2010,michael_schumacher,mercedes,9,72.0,0
209,2010,barrichello,williams,10,47.0,0
210,2010,sutil,force_india,11,47.0,0
211,2010,kobayashi,sauber,12,32.0,0
212,2010,petrov,renault,13,27.0,0
213,2010,hulkenberg,williams,14,22.0,0
214,2010,liuzzi,force_india,15,21.0,0
215,2010,buemi,toro_rosso,16,8.0,0
216,2010,rosa,sauber,17,6.0,0
217,2010,heidfeld,sauber,18,6.0,0
218,2010,alguersuari,toro_rosso,19,5.0,0
219,2010,kovalainen,lotus_racing,20,0.0,0
220,2010,trulli,lotus_racing,21,0.0,0
221,2010,chandhok,hrt,22,0.0,0
222,2010,bruno_senna,hrt,23,0.0,0
223,2010,grassi,virgin,24,0.0,0
224,2010,glock,virgin,25,0.0,0
225,2010,yamamoto,hrt,26,0.0,0
226,2010,klien,hrt,27,0.0,0
227,2011,vettel,red_bull,1,392.0,11
228,2011,button,mclaren,2,270.0,3
229,2011,webber,red_bull,3,258.0,1
230,2011,alonso,ferrari,4,257.0,1
231,2011,hamilton,mclaren,5,227.0,3
232,2011,massa,ferrari,6,118.0,0
233,2011,rosberg,mercedes,7,89.0,0
234,2011,michael_schumacher,mercedes,8,76.0,0
235,2011,sutil,force_india,9,42.0,0
236,2011,petrov,renault,10,37.0,0
237,2011,heidfeld,renault,11,34.0,0
238,2011,kobayashi,sauber,12,30.0,0
239,2011,resta,force_india,13,27.0,0
240,2011,alguersuari,toro_rosso,14,26.0,0
241,2011,buemi,toro_rosso,15,15.0,0
242,2011,perez,sauber,16,14.0,0
243,2011,barrichello,williams,17,4.0,0
244,2011,bruno_senna,renault,18,2.0,0
245,2011,maldonado,williams,19,1.0,0
246,2011,rosa,sauber,20,0.0,0
247,2011,trulli,lotus_racing,21,0.0,0
248,2011,kovalainen,lotus_racing,22,0.0,0
249,2011,liuzzi,hrt,23,0.0,0
250,2011,ambrosio,virgin,24,0.0,0
251,2011,glock,virgin,25,0.0,0
252,2011,karthikeyan,hrt,26,0.0,0
253,2011,ricciardo,hrt,27,0.0,0
254,2011,chandhok,lotus_racing,28,0.0,0
255,2012,vettel,red_bull,1,281.0,5
256,2012,alonso,ferrari,2,278.0,3
257,2012,raikkonen,lotus_f1,3,207.0,1
258,2012,hamilton,mclaren,4,190.0,4
259,2012,button,mclaren,5,188.0,3
260,2012,webber,red_bull,6,179.0,2
261,2012,massa,ferrari,7,122.0,0
262,2012,grosjean,lotus_f1,8,96.0,0
263,2012,rosberg,mercedes,9,93.0,1
264,2012,perez,sauber,10,66.0,0
265,2012,hulkenberg,force_india,11,63.0,0
266,2012,kobayashi,sauber,12,60.0,0
267,2012,michael_schumacher,mercedes,13,49.0,0
268,2012,resta,force_india,14,46.0,0
269,2012,maldonado,williams,15,45.0,1
270,2012,bruno_senna,williams,16,31.0,0
271,2012,vergne,toro_rosso,17,16.0,0
272,2012,ricciardo,toro_rosso,18,10.0,0
273,2012,petrov,caterham,19,0.0,0
274,2012,glock,marussia,20,0.0,0
275,2012,pic,marussia,21,0.0,0
276,2012,kovalainen,caterham,22,0.0,0
277,2012,ambrosio,lotus_f1,23,0.0,0
278,2012,karthikeyan,hrt,24,0.0,0
279,2012,rosa,hrt,25,0.0,0
280,2013,vettel,red_bull,1,397.0,13
281,2013,alonso,ferrari,2,242.0,2
282,2013,webber,red_bull,3,199.0,0
283,2013,hamilton,mercedes,4,189.0,1
284,2013,raikkonen,lotus_f1,5,183.0,1
285,2013,rosberg,mercedes,6,171.0,2
286,2013,grosjean,lotus_f1,7,132.0,0
287,2013,massa,ferrari,8,112.0,0
288,2013,button,mclaren,9,73.0,0
289,2013,hulkenberg,sauber,10,51.0,0
290,2013,perez,mclaren,11,49.0,0
291,2013,resta,force_india,12,48.0,0
292,2013,sutil,force_india,13,29.0,0
293,2013,ricciardo,toro_rosso,14,20.0,0
294,2013,vergne,toro_rosso,15,13.0,0
295,2013,gutierrez,sauber,16,6.0,0
296,2013,bottas,williams,17,4.0,0
297,2013,maldonado,williams,18,1.0,0
298,2013,jules_bianchi,marussia,19,0.0,0
299,2013,pic,caterham,20,0.0,0
300,2013,garde,caterham,21,0.0,0
301,2013,kovalainen,lotus_f1,22,0.0,0
302,2013,chilton,marussia,23,0.0,0
303,2014,hamilton,mercedes,1,384.0,11
304,2014,rosberg,mercedes,2,317.0,5
305,2014,ricciardo,red_bull,3,238.0,3
306,2014,bottas,williams,4,186.0,0
307,2014,vettel,red_bull,5,167.0,0
308,2014,alonso,ferrari,6,161.0,0
309,2014,massa,williams,7,134.0,0
310,2014,button,mclaren,8,126.0,0
311,2014,hulkenberg,force_india,9,96.0,0
312,2014,perez,force_india,10,59.0,0
313,2014,kevin_magnussen,mclaren,11,55.0,0
314,2014,raikkonen,ferrari,12,55.0,0
315,2014,vergne,toro_rosso,13,22.0,0
316,2014,grosjean,lotus_f1,14,8.0,0
317,2014,kvyat,toro_rosso,15,8.0,0
318,2014,maldonado,lotus_f1,16,2.0,0
319,2014,jules_bianchi,marussia,17,2.0,0
320,2014,sutil,sauber,18,0.0,0
321,2014,ericsson,caterham,19,0.0,0
322,2014,gutierrez,sauber,20,0.0,0
323,2014,chilton,marussia,21,0.0,0
324,2014,kobayashi,caterham,22,0.0,0
325,2014,stevens,caterham,23,0.0,0
326,2014,lotterer,caterham,,0.0,0
327,2015,hamilton,mercedes,1,381.0,10
328,2015,rosberg,mercedes,2,322.0,6
329,2015,vettel,ferrari,3,278.0,3
330,2015,raikkonen,ferrari,4,150.0,0
331,2015,bottas,williams,5,136.0,0
332,2015,massa,williams,6,121.0,0
333,2015,kvyat,red_bull,7,95.0,0
334,2015,ricciardo,red_bull,8,92.0,0
335,2015,perez,force_india,9,78.0,0
336,2015,hulkenberg,force_india,10,58.0,0
337,2015,grosjean,lotus_f1,11,51.0,0
338,2015,max_verstappen,toro_rosso,12,49.0,0
339,2015,nasr,sauber,13,27.0,0
340,2015,maldonado,lotus_f1,14,27.0,0
341,2015,sainz,toro_rosso,15,18.0,0
342,2015,button,mclaren,16,16.0,0
343,2015,alonso,mclaren,17,11.0,0
344,2015,ericsson,sauber,18,9.0,0
345,2015,merhi,manor,19,0.0,0
346,2015,rossi,manor,20,0.0,0
347,2015,stevens,manor,21,0.0,0
348,2015,kevin_magnussen,mclaren,,0.0,0
349,2016,rosberg,mercedes,1,385.0,9
350,2016,hamilton,mercedes,2,380.0,10
351,2016,ricciardo,red_bull,3,256.0,1
352,2016,vettel,ferrari,4,212.0,0
353,2016,max_verstappen,red_bull,5,204.0,1
354,2016,raikkonen,ferrari,6,186.0,0
355,2016,perez,force_india,7,101.0,0
356,2016,bottas,williams,8,85.0,0
357,2016,hulkenberg,force_india,9,72.0,0
358,2016,alonso,mclaren,10,54.0,0
359,2016,massa,williams,11,53.0,0
360,2016,sainz,toro_rosso,12,46.0,0
361,2016,grosjean,haas,13,29.0,0
362,2016,kvyat,toro_rosso,14,25.0,0
